CAS,HC50,MW,AOH,BCF,BioHL,BP,HL,KM,KOA,LogP,MP,KOC,VP,WS,MoA
627-30-5,2.29E+00,1.98E+00,-1.10E+01,1.12E+00,7.36E-01,1.51E+02,-5.28E+00,-8.05E-01,4.25E+00,1.23E+00,5.40E-01,-2.57E+01,8.04E-01,4.01E-01,1.00E+00
62-76-0,2.88E+00,2.13E+00,-1.23E+01,6.93E-01,9.23E-01,3.18E+02,-9.71E+00,-7.61E-01,6.48E+00,9.25E-01,-8.55E-01,1.42E+02,-3.54E+00,2.80E-01,5.00E+00
628-63-7,1.96E+00,2.11E+00,-1.12E+01,9.65E-01,6.49E-01,1.47E+02,-3.41E+00,-6.07E-01,3.96E+00,1.76E+00,2.28E+00,-8.31E+01,4.94E-01,-1.84E+00,5.00E+00
629-11-8,2.77E+00,2.07E+00,-1.07E+01,6.55E-01,6.62E-01,2.41E+02,-7.09E+00,-8.55E-01,7.45E+00,1.43E+00,1.08E+00,4.34E+01,-2.89E+00,8.58E-01,1.00E+00
62924-70-3,-1.79E+00,2.63E+00,-1.09E+01,4.55E+00,5.49E-01,3.48E+02,-5.73E+00,6.71E-02,9.82E+00,3.97E+00,5.24E+00,9.97E+01,-6.70E+00,-6.67E+00,5.00E+00
632-22-4,2.76E+00,2.07E+00,-1.08E+01,4.00E-01,8.81E-01,1.71E+02,-5.90E+00,-9.59E-01,4.44E+00,1.82E+00,2.20E-01,5.22E+00,-2.92E-01,7.78E-01,5.00E+00
63284-71-9,3.99E-01,2.50E+00,-1.09E+01,2.37E+00,7.16E-01,3.34E+02,-8.60E+00,2.13E-01,1.12E+01,2.39E+00,3.20E+00,1.25E+02,-8.48E+00,-4.10E+00,3.00E+00
634-66-2,-6.39E-01,2.33E+00,-1.25E+01,3.42E+00,7.76E-01,2.49E+02,-3.06E+00,1.08E+00,5.74E+00,3.75E+00,4.66E+00,6.45E+01,-1.48E+00,-4.89E+00,1.00E+00
634-67-3,-1.54E-01,2.29E+00,-1.12E+01,2.09E+00,8.62E-01,2.76E+02,-6.82E+00,3.43E-02,8.37E+00,2.74E+00,3.36E+00,8.01E+01,-1.44E+00,-3.04E+00,5.00E+00
634-83-3,-6.90E-01,2.36E+00,-1.12E+01,2.34E+00,1.24E+00,2.74E+02,-7.07E+00,1.21E-01,8.69E+00,3.47E+00,4.18E+00,9.55E+01,-1.42E+00,-3.37E+00,5.00E+00
634-90-2,1.53E-01,2.33E+00,-1.23E+01,3.46E+00,5.98E-01,2.48E+02,-2.88E+00,1.34E+00,5.65E+00,3.62E+00,4.57E+00,7.77E+01,-1.43E+00,-4.85E+00,1.00E+00
636-30-6,2.03E-01,2.29E+00,-1.12E+01,2.15E+00,8.61E-01,2.70E+02,-6.82E+00,9.18E-02,8.40E+00,2.92E+00,3.42E+00,9.12E+01,-1.44E+00,-3.04E+00,5.00E+00
64-00-6,-1.53E+00,2.29E+00,-1.08E+01,9.40E-01,5.49E-01,2.68E+02,-7.78E+00,-5.60E-01,8.69E+00,1.81E+00,2.53E+00,8.10E+01,-4.01E+00,-3.06E+00,4.00E+00
64-02-8,1.93E+00,2.58E+00,-1.10E+01,5.81E-01,6.97E-01,3.18E+02,-1.06E+01,-5.14E-01,9.38E+00,1.40E+00,-1.71E+00,1.64E+02,-1.17E+01,-2.27E+00,5.00E+00
64-18-6,2.11E+00,1.66E+00,-1.23E+01,6.47E-01,7.36E-01,1.08E+02,-6.60E+00,-8.50E-01,2.62E+00,7.31E-01,-5.63E-01,8.70E+01,1.68E+00,1.03E+00,1.00E+00
6419-19-8,1.68E+00,2.48E+00,-1.09E+01,4.84E-01,6.10E-01,4.79E+02,-1.12E+01,-9.31E-01,9.52E+00,1.85E+00,-3.45E+00,2.20E+02,-1.11E+01,4.83E-01,5.00E+00
64-19-7,2.06E+00,1.78E+00,-1.21E+01,6.38E-01,6.62E-01,1.22E+02,-6.88E+00,-8.81E-01,3.73E+00,2.17E-01,-1.90E-01,1.14E+02,1.04E+00,1.17E+00,1.00E+00
64359-81-5,-1.81E+00,2.45E+00,-1.10E+01,1.94E+00,6.98E-01,2.87E+02,-5.04E+00,-6.22E-01,8.78E+00,3.41E+00,3.77E+00,4.21E+01,-3.98E+00,-4.12E+00,5.00E+00
645-62-5,8.76E-01,2.10E+00,-1.04E+01,1.07E+00,6.34E-01,1.78E+02,-4.12E+00,-8.99E-01,4.52E+00,1.81E+00,2.56E+00,-2.33E+01,1.26E-01,-2.14E+00,3.00E+00
646-07-1,2.58E+00,2.07E+00,-1.11E+01,5.60E-01,6.31E-01,1.98E+02,-6.10E+00,-9.88E-01,4.76E+00,1.40E+00,1.77E+00,-1.89E+01,-7.24E-01,-9.29E-01,1.00E+00
64700-56-7,-2.50E-01,2.55E+00,-1.10E+01,1.99E+00,6.67E-01,3.35E+02,-6.85E+00,2.55E-01,1.02E+01,3.21E+00,3.26E+00,8.42E+01,-5.50E+00,-4.52E+00,5.00E+00
6485-55-8,1.95E+00,2.06E+00,-1.07E+01,4.47E-01,6.80E-01,1.44E+02,-6.11E+00,-8.31E-01,4.79E+00,1.45E+00,1.04E+00,-7.25E+01,5.21E-01,6.94E-01,2.00E+00
650-51-1,1.08E+00,2.27E+00,-1.34E+01,3.00E-01,7.25E-01,1.98E+02,-7.93E+00,-8.87E-01,4.76E+00,4.97E-01,1.38E+00,6.41E+01,-8.91E-01,5.49E-01,5.00E+00
6515-38-4,2.21E-01,2.30E+00,-1.06E+01,2.02E+00,4.04E-01,2.88E+02,-6.55E+00,-5.55E-01,7.78E+00,2.93E+00,3.13E+00,1.61E+02,-3.33E+00,-2.62E+00,5.00E+00
66063-05-6,6.99E-01,2.52E+00,-1.08E+01,2.57E+00,5.26E-01,3.51E+02,-1.11E+01,3.53E-02,1.04E+01,3.28E+00,4.67E+00,1.33E+02,-1.09E+01,-5.89E+00,5.00E+00
66230-04-4,-3.10E+00,2.62E+00,-1.06E+01,2.81E+00,5.25E-01,4.35E+02,-7.10E+00,6.69E-01,1.17E+01,4.01E+00,6.18E+00,6.18E+01,-8.79E+00,-6.70E+00,3.00E+00
66441-23-4,-3.46E-01,2.56E+00,-1.07E+01,2.24E+00,6.67E-01,3.90E+02,-6.84E+00,-5.96E-02,1.15E+01,3.84E+00,4.49E+00,8.62E+01,-7.63E+00,-5.37E+00,5.00E+00
67129-08-2,5.54E-01,2.44E+00,-1.10E+01,1.61E+00,5.26E-01,3.28E+02,-8.95E+00,-7.42E-01,9.59E+00,2.21E+00,2.27E+00,8.08E+01,-5.63E+00,-3.30E+00,3.00E+00
67-45-8,-6.21E-01,2.35E+00,-1.08E+01,3.69E-01,6.87E-01,3.16E+02,-7.64E+00,-3.95E-01,6.90E+00,1.95E+00,1.65E-01,2.29E+02,-3.92E+00,-3.07E+00,4.00E+00
67564-91-4,2.84E-01,2.48E+00,-1.06E+01,2.38E+00,8.71E-01,3.16E+02,-6.13E+00,3.72E-01,8.85E+00,3.20E+00,5.09E+00,1.32E+02,-4.59E+00,-5.76E+00,5.00E+00
68-04-2,3.34E+00,2.41E+00,-1.17E+01,5.90E-01,6.12E-01,3.18E+02,-1.01E+01,-1.10E+00,7.91E+00,2.08E+00,-1.66E+00,1.62E+02,-7.91E+00,4.70E-01,5.00E+00
68-11-1,1.18E+00,1.96E+00,-1.20E+01,6.21E-01,6.47E-01,1.94E+02,-8.07E+00,-5.67E-01,4.04E+00,9.73E-01,9.93E-02,-8.95E+00,-1.13E+00,7.87E-01,5.00E+00
6864-37-5,7.32E-01,2.38E+00,-1.11E+01,1.10E+00,1.76E+00,2.87E+02,-5.43E+00,1.85E-02,8.35E+00,2.50E+00,3.78E+00,2.13E+01,-3.40E+00,-4.41E+00,5.00E+00
68694-11-1,1.14E-01,2.54E+00,-1.10E+01,1.81E+00,6.52E-01,3.50E+02,-6.64E+00,-1.54E-01,8.85E+00,3.19E+00,1.62E+00,6.39E+01,-5.87E+00,-1.85E+00,5.00E+00
687-47-8,2.64E+00,2.07E+00,-1.14E+01,5.75E-01,6.98E-01,1.52E+02,-6.17E+00,-9.34E-01,4.20E+00,1.26E+00,4.22E-02,-1.83E+01,2.04E-01,8.05E-01,1.00E+00
693-21-0,2.06E+00,2.29E+00,-1.23E+01,5.41E-01,5.66E-01,1.88E+02,-5.75E+00,-1.54E-02,4.32E+00,2.28E+00,9.31E-01,-6.39E+00,-2.17E+00,-1.69E+00,5.00E+00
69377-81-7,9.65E-01,2.41E+00,-1.13E+01,6.75E-01,5.49E-01,2.96E+02,-7.97E+00,-7.41E-01,8.14E+00,2.03E+00,2.02E+00,2.28E+02,-1.04E+01,-3.31E+00,5.00E+00
69581-33-5,1.46E+00,2.45E+00,-1.07E+01,1.21E+00,5.25E-01,3.53E+02,-9.32E+00,-6.67E-01,1.06E+01,2.37E+00,2.83E+00,9.67E+01,-5.96E+00,-2.81E+00,5.00E+00
69-72-7,1.77E+00,2.14E+00,-1.14E+01,6.20E-01,5.52E-01,2.55E+02,-7.05E+00,-9.93E-01,7.57E+00,1.58E+00,6.23E-01,1.61E+02,-4.32E+00,-1.12E+00,5.00E+00
69806-50-4,6.58E-02,2.58E+00,-1.09E+01,1.67E+00,6.66E-01,3.54E+02,-7.44E+00,5.45E-01,9.86E+00,3.67E+00,4.46E+00,2.08E+01,-6.48E+00,-5.45E+00,5.00E+00
6988-21-2,1.06E+00,2.35E+00,-1.09E+01,3.36E-01,6.69E-01,2.89E+02,-8.81E+00,-1.04E+00,8.90E+00,1.74E+00,7.67E-01,1.16E+02,-6.20E+00,-1.46E+00,4.00E+00
700-13-0,1.14E-01,2.18E+00,-1.01E+01,8.59E-01,1.08E+00,2.78E+02,-6.75E+00,-8.20E-01,7.84E+00,3.17E+00,1.73E+00,1.42E+02,-2.79E+00,-4.61E-01,5.00E+00
700-38-9,9.51E-01,2.19E+00,-1.18E+01,9.29E-01,5.51E-01,2.52E+02,-4.91E+00,-9.42E-01,6.15E+00,2.06E+00,2.29E+00,4.64E+01,-1.85E+00,-2.39E+00,5.00E+00
70-38-2,-1.40E+00,2.46E+00,-1.00E+01,2.81E+00,5.24E-01,3.52E+02,-6.61E+00,-7.43E-01,8.86E+00,2.76E+00,5.61E+00,4.24E+01,-4.93E+00,-5.53E+00,4.00E+00
70630-17-0,9.58E-01,2.45E+00,-1.07E+01,9.16E-01,6.33E-01,3.00E+02,-8.41E+00,-7.02E-01,9.84E+00,1.63E+00,1.77E+00,6.73E+01,-5.28E+00,-1.79E+00,5.00E+00
7085-19-0,1.36E+00,2.33E+00,-1.09E+01,5.67E-01,5.48E-01,2.97E+02,-8.79E+00,-1.09E+00,8.67E+00,1.51E+00,3.05E+00,9.94E+01,-5.80E+00,-2.73E+00,1.00E+00
71-23-8,3.32E+00,1.78E+00,-1.12E+01,5.26E-01,6.47E-01,9.64E+01,-5.15E+00,-1.07E+00,3.73E+00,6.04E-01,1.67E-01,-1.18E+02,1.33E+00,1.14E+00,1.00E+00
71283-80-2,-4.14E-01,2.56E+00,-1.07E+01,2.24E+00,6.67E-01,3.90E+02,-6.84E+00,-5.96E-02,1.15E+01,3.84E+00,4.49E+00,8.62E+01,-7.63E+00,-5.37E+00,5.00E+00
71-41-0,2.41E+00,1.95E+00,-1.09E+01,7.09E-01,6.49E-01,1.31E+02,-4.88E+00,-1.02E+00,4.22E+00,8.02E-01,1.40E+00,-8.61E+01,4.46E-01,-5.18E-01,1.00E+00
7149-79-3,1.40E+00,2.26E+00,-1.09E+01,1.37E+00,5.50E-01,2.92E+02,-8.77E+00,-9.93E-01,9.26E+00,1.80E+00,2.26E+00,1.22E+02,-6.11E+00,-2.70E+00,5.00E+00
71561-11-0,-6.49E-01,2.61E+00,-1.07E+01,2.31E+00,5.25E-01,3.83E+02,-8.24E+00,9.84E-03,1.17E+01,3.42E+00,3.80E+00,1.14E+02,-6.66E+00,-3.01E+00,5.00E+00
7166-19-0,-1.60E+00,2.36E+00,-1.05E+01,1.75E+00,5.72E-01,2.73E+02,-6.02E+00,-8.28E-02,5.67E+00,2.59E+00,2.56E+00,9.68E+01,-2.89E+00,-3.45E+00,3.00E+00
7173-51-5,-7.86E-01,2.56E+00,-1.12E+01,2.58E+00,1.19E+00,3.33E+02,-5.81E+00,1.20E+00,9.30E+00,4.16E+00,3.21E+00,1.78E+02,-5.12E+00,-8.00E+00,5.00E+00
7173-62-8,-3.40E-01,2.51E+00,-1.03E+01,2.75E+00,7.15E-01,3.26E+02,-7.34E+00,-6.02E-01,9.33E+00,4.14E+00,8.63E+00,4.88E+01,-5.45E+00,-4.79E+00,5.00E+00
7286-84-2,-1.63E-02,2.34E+00,-1.10E+01,1.59E+00,5.23E-01,2.99E+02,-8.47E+00,-6.08E-01,9.20E+00,2.58E+00,1.76E+00,1.43E+02,-3.51E+00,-3.15E+00,5.00E+00
731-27-1,-1.18E+00,2.54E+00,-1.08E+01,8.25E-01,9.20E-01,3.37E+02,-6.67E+00,-7.16E-01,8.41E+00,2.89E+00,3.75E+00,9.49E+01,-5.69E+00,-5.41E+00,5.00E+00
73250-68-7,-2.50E-01,2.47E+00,-1.09E+01,1.24E+00,5.25E-01,3.60E+02,-8.18E+00,-1.90E-01,1.15E+01,3.10E+00,3.15E+00,1.27E+02,-8.19E+00,-4.85E+00,5.00E+00
74070-46-5,-1.41E+00,2.42E+00,-1.10E+01,2.09E+00,6.68E-01,3.49E+02,-6.84E+00,-1.11E+00,1.02E+01,3.71E+00,3.99E+00,9.47E+01,-7.16E+00,-5.18E+00,5.00E+00
7414-83-7,1.69E+00,2.40E+00,-1.05E+01,4.78E-01,6.16E-01,3.73E+02,-8.62E+00,-1.10E+00,9.46E+00,1.68E+00,-5.19E-01,1.92E+02,-1.00E+01,5.02E-01,5.00E+00
